dataset,dataset_size,model,operator,inform,on_train,sigma,series,median,mean,std
CIFAR10,10000,LocalEquivUNet2dCondModel,inpainting_center_15,False,True,0.01,Analytical vs GT,29.15349769592285,29.046308517456055,3.652582883834839
CIFAR10,10000,LocalEquivUNet2dCondModel,inpainting_center_15,False,True,0.01,Neural vs GT,21.68482208251953,22.202207565307617,2.631993055343628
CIFAR10,10000,LocalEquivUNet2dCondModel,inpainting_center_15,False,True,0.01,Neural vs Analytical,22.696903228759766,23.361003875732422,2.6184284687042236
CIFAR10,10000,LocalEquivUNet2dCondModel,inpainting_center_15,False,True,0.02,Analytical vs GT,29.235912322998047,29.020483016967773,3.691728353500366
CIFAR10,10000,LocalEquivUNet2dCondModel,inpainting_center_15,False,True,0.02,Neural vs GT,21.633481979370117,22.136388778686523,2.570333480834961
CIFAR10,10000,LocalEquivUNet2dCondModel,inpainting_center_15,False,True,0.02,Neural vs Analytical,22.607345581054688,23.277515411376953,2.522876262664795
CIFAR10,10000,LocalEquivUNet2dCondModel,inpainting_center_15,False,True,0.03,Analytical vs GT,29.14687728881836,29.030105590820312,3.6654341220855713
CIFAR10,10000,LocalEquivUNet2dCondModel,inpainting_center_15,False,True,0.03,Neural vs GT,21.488176345825195,22.011091232299805,2.4984257221221924
CIFAR10,10000,LocalEquivUNet2dCondModel,inpainting_center_15,False,True,0.03,Neural vs Analytical,22.46419906616211,23.121570587158203,2.425753355026245
CIFAR10,10000,LocalEquivUNet2dCondModel,inpainting_center_15,False,True,0.04,Analytical vs GT,29.028310775756836,28.904268264770508,3.5542454719543457
CIFAR10,10000,LocalEquivUNet2dCondModel,inpainting_center_15,False,True,0.04,Neural vs GT,21.401874542236328,21.876588821411133,2.4512076377868652
CIFAR10,10000,LocalEquivUNet2dCondModel,inpainting_center_15,False,True,0.04,Neural vs Analytical,22.47565460205078,22.995769500732422,2.3325819969177246
CIFAR10,10000,LocalEquivUNet2dCondModel,inpainting_center_15,False,True,0.05,Analytical vs GT,28.671489715576172,28.780986785888672,3.5866000652313232
CIFAR10,10000,LocalEquivUNet2dCondModel,inpainting_center_15,False,True,0.05,Neural vs GT,21.30123519897461,21.731794357299805,2.38222599029541
CIFAR10,10000,LocalEquivUNet2dCondModel,inpainting_center_15,False,True,0.05,Neural vs Analytical,22.374664306640625,22.849714279174805,2.2661538124084473
CIFAR10,10000,LocalEquivUNet2dCondModel,inpainting_center_15,False,True,0.06,Analytical vs GT,28.70268440246582,28.741809844970703,3.6812009811401367
CIFAR10,10000,LocalEquivUNet2dCondModel,inpainting_center_15,False,True,0.06,Neural vs GT,21.174861907958984,21.5971622467041,2.3503589630126953
CIFAR10,10000,LocalEquivUNet2dCondModel,inpainting_center_15,False,True,0.06,Neural vs Analytical,22.12708282470703,22.670181274414062,2.182528018951416
CIFAR10,10000,LocalEquivUNet2dCondModel,inpainting_center_15,False,True,0.07,Analytical vs GT,28.573787689208984,28.544933319091797,3.5426993370056152
CIFAR10,10000,LocalEquivUNet2dCondModel,inpainting_center_15,False,True,0.07,Neural vs GT,21.076366424560547,21.452978134155273,2.3399007320404053
CIFAR10,10000,LocalEquivUNet2dCondModel,inpainting_center_15,False,True,0.07,Neural vs Analytical,22.2668514251709,22.592443466186523,2.165802001953125
CIFAR10,10000,LocalEquivUNet2dCondModel,inpainting_center_15,False,True,0.08,Analytical vs GT,28.021900177001953,28.09162139892578,3.3721320629119873
CIFAR10,10000,LocalEquivUNet2dCondModel,inpainting_center_15,False,True,0.08,Neural vs GT,21.008560180664062,21.333419799804688,2.203839063644409
CIFAR10,10000,LocalEquivUNet2dCondModel,inpainting_center_15,False,True,0.08,Neural vs Analytical,22.04745864868164,22.486791610717773,1.9592909812927246
CIFAR10,10000,LocalEquivUNet2dCondModel,inpainting_center_15,False,True,0.09,Analytical vs GT,27.869213104248047,27.83466148376465,3.3746206760406494
