dataset,dataset_size,model,operator,inform,on_train,sigma,series,median,mean,std
FFHQ/images32x32,10000,LocalEquivUNet2dCondModel,inpainting_center_15,False,True,0.01,Analytical vs GT,30.640697479248047,31.15131378173828,3.8056938648223877
FFHQ/images32x32,10000,LocalEquivUNet2dCondModel,inpainting_center_15,False,True,0.01,Neural vs GT,24.65719223022461,24.46493911743164,1.928511142730713
FFHQ/images32x32,10000,LocalEquivUNet2dCondModel,inpainting_center_15,False,True,0.01,Neural vs Analytical,25.86388397216797,25.804214477539062,1.800215244293213
FFHQ/images32x32,10000,LocalEquivUNet2dCondModel,inpainting_center_15,False,True,0.02,Analytical vs GT,30.635786056518555,31.157899856567383,3.8185811042785645
FFHQ/images32x32,10000,LocalEquivUNet2dCondModel,inpainting_center_15,False,True,0.02,Neural vs GT,24.55867576599121,24.357315063476562,1.9035754203796387
FFHQ/images32x32,10000,LocalEquivUNet2dCondModel,inpainting_center_15,False,True,0.02,Neural vs Analytical,25.74411392211914,25.664165496826172,1.7590152025222778
FFHQ/images32x32,10000,LocalEquivUNet2dCondModel,inpainting_center_15,False,True,0.03,Analytical vs GT,30.584325790405273,31.077173233032227,3.9407012462615967
FFHQ/images32x32,10000,LocalEquivUNet2dCondModel,inpainting_center_15,False,True,0.03,Neural vs GT,24.32337760925293,24.113340377807617,1.8502393960952759
FFHQ/images32x32,10000,LocalEquivUNet2dCondModel,inpainting_center_15,False,True,0.03,Neural vs Analytical,25.41106414794922,25.40533447265625,1.6107417345046997
FFHQ/images32x32,10000,LocalEquivUNet2dCondModel,inpainting_center_15,False,True,0.04,Analytical vs GT,30.484085083007812,30.952394485473633,3.880465507507324
FFHQ/images32x32,10000,LocalEquivUNet2dCondModel,inpainting_center_15,False,True,0.04,Neural vs GT,24.207826614379883,23.953899383544922,1.8492625951766968
FFHQ/images32x32,10000,LocalEquivUNet2dCondModel,inpainting_center_15,False,True,0.04,Neural vs Analytical,25.226932525634766,25.2166748046875,1.6225850582122803
FFHQ/images32x32,10000,LocalEquivUNet2dCondModel,inpainting_center_15,False,True,0.05,Analytical vs GT,30.500255584716797,30.742124557495117,3.7915451526641846
FFHQ/images32x32,10000,LocalEquivUNet2dCondModel,inpainting_center_15,False,True,0.05,Neural vs GT,24.1082763671875,23.695890426635742,1.7621428966522217
FFHQ/images32x32,10000,LocalEquivUNet2dCondModel,inpainting_center_15,False,True,0.05,Neural vs Analytical,25.008834838867188,24.90316390991211,1.543262243270874
FFHQ/images32x32,10000,LocalEquivUNet2dCondModel,inpainting_center_15,False,True,0.06,Analytical vs GT,30.325971603393555,30.469865798950195,3.81257963180542
FFHQ/images32x32,10000,LocalEquivUNet2dCondModel,inpainting_center_15,False,True,0.06,Neural vs GT,23.717178344726562,23.452577590942383,1.7028063535690308
FFHQ/images32x32,10000,LocalEquivUNet2dCondModel,inpainting_center_15,False,True,0.06,Neural vs Analytical,24.73481559753418,24.709230422973633,1.3954411745071411
