dataset,dataset_size,model,operator,inform,on_train,sigma,series,median,mean,std
FashionMNIST,10000,LocalEquivUNet2dCondModel,inpainting_center_15,False,True,0.01,Analytical vs GT,18.745487213134766,19.993192672729492,5.207763671875
FashionMNIST,10000,LocalEquivUNet2dCondModel,inpainting_center_15,False,True,0.01,Neural vs GT,16.745500564575195,17.024137496948242,2.940321683883667
FashionMNIST,10000,LocalEquivUNet2dCondModel,inpainting_center_15,False,True,0.01,Neural vs Analytical,22.154489517211914,22.086997985839844,3.415966510772705
FashionMNIST,10000,LocalEquivUNet2dCondModel,inpainting_center_15,False,True,0.02,Analytical vs GT,18.609905242919922,19.831113815307617,5.165081977844238
FashionMNIST,10000,LocalEquivUNet2dCondModel,inpainting_center_15,False,True,0.02,Neural vs GT,16.64620590209961,16.978185653686523,2.888092041015625
FashionMNIST,10000,LocalEquivUNet2dCondModel,inpainting_center_15,False,True,0.02,Neural vs Analytical,22.18798828125,22.32184410095215,3.4752259254455566
FashionMNIST,10000,LocalEquivUNet2dCondModel,inpainting_center_15,False,True,0.03,Analytical vs GT,18.525001525878906,19.458099365234375,4.66414737701416
FashionMNIST,10000,LocalEquivUNet2dCondModel,inpainting_center_15,False,True,0.03,Neural vs GT,16.646697998046875,16.888151168823242,2.824296236038208
FashionMNIST,10000,LocalEquivUNet2dCondModel,inpainting_center_15,False,True,0.03,Neural vs Analytical,22.900222778320312,22.452709197998047,3.2906668186187744
FashionMNIST,10000,LocalEquivUNet2dCondModel,inpainting_center_15,False,True,0.04,Analytical vs GT,18.097881317138672,19.233963012695312,4.5130720138549805
FashionMNIST,10000,LocalEquivUNet2dCondModel,inpainting_center_15,False,True,0.04,Neural vs GT,16.545324325561523,16.774560928344727,2.7611966133117676
FashionMNIST,10000,LocalEquivUNet2dCondModel,inpainting_center_15,False,True,0.04,Neural vs Analytical,22.9393253326416,22.4736385345459,3.188206434249878
FashionMNIST,10000,LocalEquivUNet2dCondModel,inpainting_center_15,False,True,0.05,Analytical vs GT,18.11550521850586,18.966663360595703,4.262211799621582
FashionMNIST,10000,LocalEquivUNet2dCondModel,inpainting_center_15,False,True,0.05,Neural vs GT,16.332931518554688,16.666040420532227,2.6966052055358887
FashionMNIST,10000,LocalEquivUNet2dCondModel,inpainting_center_15,False,True,0.05,Neural vs Analytical,23.065799713134766,22.50664520263672,3.3096797466278076
