dataset,dataset_size,model,operator,inform,on_train,sigma,series,median,mean,std
CIFAR10,10000,MinimalResNet,inpainting_center_15,False,True,0.01,Analytical vs GT,29.15349769592285,29.046308517456055,3.652582883834839
CIFAR10,10000,MinimalResNet,inpainting_center_15,False,True,0.01,Neural vs GT,21.387760162353516,21.954364776611328,2.629467725753784
CIFAR10,10000,MinimalResNet,inpainting_center_15,False,True,0.01,Neural vs Analytical,22.5028133392334,23.048873901367188,2.6122796535491943
CIFAR10,10000,MinimalResNet,inpainting_center_15,False,True,0.02,Analytical vs GT,29.235912322998047,29.020483016967773,3.691728353500366
CIFAR10,10000,MinimalResNet,inpainting_center_15,False,True,0.02,Neural vs GT,21.33184814453125,21.905733108520508,2.5950100421905518
CIFAR10,10000,MinimalResNet,inpainting_center_15,False,True,0.02,Neural vs Analytical,22.45030975341797,22.98566246032715,2.5652966499328613
CIFAR10,10000,MinimalResNet,inpainting_center_15,False,True,0.03,Analytical vs GT,29.14687728881836,29.030105590820312,3.6654341220855713
CIFAR10,10000,MinimalResNet,inpainting_center_15,False,True,0.03,Neural vs GT,21.338825225830078,21.768156051635742,2.5080862045288086
CIFAR10,10000,MinimalResNet,inpainting_center_15,False,True,0.03,Neural vs Analytical,22.371299743652344,22.815404891967773,2.4450390338897705
CIFAR10,10000,MinimalResNet,inpainting_center_15,False,True,0.04,Analytical vs GT,29.028310775756836,28.904268264770508,3.5542454719543457
CIFAR10,10000,MinimalResNet,inpainting_center_15,False,True,0.04,Neural vs GT,21.196435928344727,21.662452697753906,2.4275121688842773
CIFAR10,10000,MinimalResNet,inpainting_center_15,False,True,0.04,Neural vs Analytical,22.348308563232422,22.733686447143555,2.327706813812256
CIFAR10,10000,MinimalResNet,inpainting_center_15,False,True,0.05,Analytical vs GT,28.671489715576172,28.780986785888672,3.5866000652313232
CIFAR10,10000,MinimalResNet,inpainting_center_15,False,True,0.05,Neural vs GT,21.184696197509766,21.50397491455078,2.370894432067871
CIFAR10,10000,MinimalResNet,inpainting_center_15,False,True,0.05,Neural vs Analytical,22.15740966796875,22.568466186523438,2.273258686065674
CIFAR10,10000,MinimalResNet,inpainting_center_15,False,True,0.06,Analytical vs GT,28.70268440246582,28.741809844970703,3.6812009811401367
CIFAR10,10000,MinimalResNet,inpainting_center_15,False,True,0.06,Neural vs GT,21.096519470214844,21.380041122436523,2.343966484069824
CIFAR10,10000,MinimalResNet,inpainting_center_15,False,True,0.06,Neural vs Analytical,22.03400421142578,22.37918472290039,2.172307252883911
CIFAR10,10000,MinimalResNet,inpainting_center_15,False,True,0.07,Analytical vs GT,28.573787689208984,28.544933319091797,3.5426993370056152
CIFAR10,10000,MinimalResNet,inpainting_center_15,False,True,0.07,Neural vs GT,20.88816261291504,21.246980667114258,2.268336057662964
CIFAR10,10000,MinimalResNet,inpainting_center_15,False,True,0.07,Neural vs Analytical,22.08758544921875,22.31340980529785,2.0797784328460693
CIFAR10,10000,MinimalResNet,inpainting_center_15,False,True,0.08,Analytical vs GT,28.021900177001953,28.09162139892578,3.3721320629119873
CIFAR10,10000,MinimalResNet,inpainting_center_15,False,True,0.08,Neural vs GT,20.8541259765625,21.113637924194336,2.183171272277832
CIFAR10,10000,MinimalResNet,inpainting_center_15,False,True,0.08,Neural vs Analytical,22.032283782958984,22.197546005249023,1.945759892463684
CIFAR10,10000,MinimalResNet,inpainting_center_15,False,True,0.09,Analytical vs GT,27.869213104248047,27.83466148376465,3.3746206760406494
CIFAR10,10000,MinimalResNet,inpainting_center_15,False,True,0.09,Neural vs GT,20.630340576171875,20.937776565551758,2.1796085834503174
CIFAR10,10000,MinimalResNet,inpainting_center_15,False,True,0.09,Neural vs Analytical,21.67824935913086,22.014799118041992,1.9380083084106445
CIFAR10,10000,MinimalResNet,inpainting_center_15,False,True,0.1,Analytical vs GT,27.834745407104492,27.744064331054688,3.240920066833496
CIFAR10,10000,MinimalResNet,inpainting_center_15,False,True,0.1,Neural vs GT,20.614002227783203,20.825998306274414,2.0174503326416016
CIFAR10,10000,MinimalResNet,inpainting_center_15,False,True,0.1,Neural vs Analytical,21.761383056640625,21.935144424438477,1.7918435335159302
CIFAR10,10000,MinimalResNet,inpainting_center_15,False,True,0.15,Analytical vs GT,26.252044677734375,26.164316177368164,3.335355043411255
CIFAR10,10000,MinimalResNet,inpainting_center_15,False,True,0.15,Neural vs GT,19.908035278320312,20.103940963745117,1.8742432594299316
CIFAR10,10000,MinimalResNet,inpainting_center_15,False,True,0.15,Neural vs Analytical,21.604000091552734,21.44768714904785,1.4509592056274414
CIFAR10,10000,MinimalResNet,inpainting_center_15,False,True,0.2,Analytical vs GT,25.129905700683594,25.158485412597656,3.0354390144348145
CIFAR10,10000,MinimalResNet,inpainting_center_15,False,True,0.2,Neural vs GT,19.672819137573242,19.63397979736328,1.6582010984420776
CIFAR10,10000,MinimalResNet,inpainting_center_15,False,True,0.2,Neural vs Analytical,21.402236938476562,21.234403610229492,1.320846676826477
CIFAR10,10000,MinimalResNet,inpainting_center_15,False,True,0.25,Analytical vs GT,23.997827529907227,24.180469512939453,2.863020658493042
CIFAR10,10000,MinimalResNet,inpainting_center_15,False,True,0.25,Neural vs GT,19.32501983642578,19.05918312072754,1.6018942594528198
CIFAR10,10000,MinimalResNet,inpainting_center_15,False,True,0.25,Neural vs Analytical,21.03185272216797,20.866981506347656,1.3983241319656372
CIFAR10,10000,MinimalResNet,inpainting_center_15,False,True,0.3,Analytical vs GT,23.117145538330078,22.882495880126953,2.801236152648926
CIFAR10,10000,MinimalResNet,inpainting_center_15,False,True,0.3,Neural vs GT,18.677974700927734,18.58275604248047,1.5866564512252808
CIFAR10,10000,MinimalResNet,inpainting_center_15,False,True,0.3,Neural vs Analytical,20.77073097229004,20.885976791381836,1.6343821287155151
CIFAR10,10000,MinimalResNet,inpainting_center_15,False,True,0.35,Analytical vs GT,21.615066528320312,21.755083084106445,2.56903338432312
CIFAR10,10000,MinimalResNet,inpainting_center_15,False,True,0.35,Neural vs GT,18.209672927856445,18.157712936401367,1.3294364213943481
CIFAR10,10000,MinimalResNet,inpainting_center_15,False,True,0.35,Neural vs Analytical,20.688499450683594,20.838621139526367,1.5061572790145874
CIFAR10,10000,MinimalResNet,inpainting_center_15,False,True,0.4,Analytical vs GT,21.0063419342041,21.02447509765625,2.2825629711151123
CIFAR10,10000,MinimalResNet,inpainting_center_15,False,True,0.4,Neural vs GT,18.147624969482422,17.89776039123535,1.4367599487304688
CIFAR10,10000,MinimalResNet,inpainting_center_15,False,True,0.4,Neural vs Analytical,21.077903747558594,21.141674041748047,1.9829611778259277
CIFAR10,10000,MinimalResNet,inpainting_center_15,False,True,0.45,Analytical vs GT,20.180158615112305,20.00731658935547,2.1094970703125
CIFAR10,10000,MinimalResNet,inpainting_center_15,False,True,0.45,Neural vs GT,17.529502868652344,17.49650001525879,1.5226638317108154
CIFAR10,10000,MinimalResNet,inpainting_center_15,False,True,0.45,Neural vs Analytical,21.3944091796875,21.348068237304688,2.042250633239746
CIFAR10,10000,MinimalResNet,inpainting_center_15,False,True,0.5,Analytical vs GT,19.04381561279297,19.15017318725586,1.8453121185302734
CIFAR10,10000,MinimalResNet,inpainting_center_15,False,True,0.5,Neural vs GT,17.231863021850586,17.21158790588379,1.3496984243392944
CIFAR10,10000,MinimalResNet,inpainting_center_15,False,True,0.5,Neural vs Analytical,21.78872299194336,21.942420959472656,2.102972984313965
CIFAR10,10000,MinimalResNet,inpainting_center_15,False,True,0.6,Analytical vs GT,17.490230560302734,17.709360122680664,1.8010501861572266
CIFAR10,10000,MinimalResNet,inpainting_center_15,False,True,0.6,Neural vs GT,16.48419189453125,16.585161209106445,1.4832159280776978
CIFAR10,10000,MinimalResNet,inpainting_center_15,False,True,0.6,Neural vs Analytical,23.49197769165039,23.226795196533203,2.3046951293945312
CIFAR10,10000,MinimalResNet,inpainting_center_15,False,True,0.7,Analytical vs GT,16.990482330322266,16.850013732910156,1.3328981399536133
CIFAR10,10000,MinimalResNet,inpainting_center_15,False,True,0.7,Neural vs GT,16.210721969604492,16.192087173461914,1.241575002670288
CIFAR10,10000,MinimalResNet,inpainting_center_15,False,True,0.7,Neural vs Analytical,24.698162078857422,24.579395294189453,2.2548131942749023
CIFAR10,10000,MinimalResNet,inpainting_center_15,False,True,0.8,Analytical vs GT,16.137950897216797,16.065719604492188,1.1905683279037476
CIFAR10,10000,MinimalResNet,inpainting_center_15,False,True,0.8,Neural vs GT,15.643728256225586,15.778275489807129,1.2549188137054443
CIFAR10,10000,MinimalResNet,inpainting_center_15,False,True,0.8,Neural vs Analytical,26.209312438964844,25.960813522338867,2.1302073001861572
CIFAR10,10000,MinimalResNet,inpainting_center_15,False,True,0.9,Analytical vs GT,15.370674133300781,15.457183837890625,1.3080048561096191
CIFAR10,10000,MinimalResNet,inpainting_center_15,False,True,0.9,Neural vs GT,15.250168800354004,15.259698867797852,1.3388323783874512
CIFAR10,10000,MinimalResNet,inpainting_center_15,False,True,0.9,Neural vs Analytical,26.461471557617188,26.254384994506836,1.7125269174575806
CIFAR10,10000,MinimalResNet,inpainting_center_15,False,True,1.0,Analytical vs GT,15.398706436157227,15.252371788024902,1.3781702518463135
CIFAR10,10000,MinimalResNet,inpainting_center_15,False,True,1.0,Neural vs GT,15.183486938476562,15.09100341796875,1.3767237663269043
CIFAR10,10000,MinimalResNet,inpainting_center_15,False,True,1.0,Neural vs Analytical,27.33725357055664,27.124778747558594,1.789491057395935
CIFAR10,10000,MinimalResNet,convolution_gaussian_1.0,False,True,0.01,Analytical vs GT,80.0,80.0,0.0
CIFAR10,10000,MinimalResNet,convolution_gaussian_1.0,False,True,0.01,Neural vs GT,28.972793579101562,28.843278884887695,1.613524079322815
CIFAR10,10000,MinimalResNet,convolution_gaussian_1.0,False,True,0.01,Neural vs Analytical,28.972793579101562,28.843278884887695,1.613524079322815
CIFAR10,10000,MinimalResNet,convolution_gaussian_1.0,False,True,0.02,Analytical vs GT,80.0,79.11471557617188,3.7757976055145264
CIFAR10,10000,MinimalResNet,convolution_gaussian_1.0,False,True,0.02,Neural vs GT,27.436172485351562,27.627267837524414,1.4996652603149414
CIFAR10,10000,MinimalResNet,convolution_gaussian_1.0,False,True,0.02,Neural vs Analytical,27.43583869934082,27.62751007080078,1.4996119737625122
CIFAR10,10000,MinimalResNet,convolution_gaussian_1.0,False,True,0.03,Analytical vs GT,80.0,77.55259704589844,6.477042198181152
CIFAR10,10000,MinimalResNet,convolution_gaussian_1.0,False,True,0.03,Neural vs GT,26.67791748046875,26.662782669067383,1.4401226043701172
CIFAR10,10000,MinimalResNet,convolution_gaussian_1.0,False,True,0.03,Neural vs Analytical,26.681835174560547,26.663253784179688,1.440227746963501
CIFAR10,10000,MinimalResNet,convolution_gaussian_1.0,False,True,0.04,Analytical vs GT,79.99411010742188,73.41352081298828,10.483973503112793
CIFAR10,10000,MinimalResNet,convolution_gaussian_1.0,False,True,0.04,Neural vs GT,25.95307159423828,26.013872146606445,1.4450984001159668
CIFAR10,10000,MinimalResNet,convolution_gaussian_1.0,False,True,0.04,Neural vs Analytical,25.958232879638672,26.0180721282959,1.4500609636306763
CIFAR10,10000,MinimalResNet,convolution_gaussian_1.0,False,True,0.05,Analytical vs GT,79.9547119140625,71.3476791381836,12.534205436706543
CIFAR10,10000,MinimalResNet,convolution_gaussian_1.0,False,True,0.05,Neural vs GT,25.460693359375,25.487337112426758,1.3918241262435913
CIFAR10,10000,MinimalResNet,convolution_gaussian_1.0,False,True,0.05,Neural vs Analytical,25.460922241210938,25.495344161987305,1.3954081535339355
CIFAR10,10000,MinimalResNet,convolution_gaussian_1.0,False,True,0.06,Analytical vs GT,71.35502624511719,66.87057495117188,13.770142555236816
CIFAR10,10000,MinimalResNet,convolution_gaussian_1.0,False,True,0.06,Neural vs GT,25.03428840637207,25.01258087158203,1.3976975679397583
CIFAR10,10000,MinimalResNet,convolution_gaussian_1.0,False,True,0.06,Neural vs Analytical,25.04304313659668,25.031383514404297,1.3968775272369385
CIFAR10,10000,MinimalResNet,convolution_gaussian_1.0,False,True,0.07,Analytical vs GT,59.97142791748047,62.46464920043945,15.609840393066406
CIFAR10,10000,MinimalResNet,convolution_gaussian_1.0,False,True,0.07,Neural vs GT,24.543350219726562,24.513412475585938,1.4052375555038452
CIFAR10,10000,MinimalResNet,convolution_gaussian_1.0,False,True,0.07,Neural vs Analytical,24.577211380004883,24.543020248413086,1.413272500038147
CIFAR10,10000,MinimalResNet,convolution_gaussian_1.0,False,True,0.08,Analytical vs GT,54.337989807128906,58.745113372802734,14.35197925567627
CIFAR10,10000,MinimalResNet,convolution_gaussian_1.0,False,True,0.08,Neural vs GT,24.143047332763672,24.160078048706055,1.4112396240234375
CIFAR10,10000,MinimalResNet,convolution_gaussian_1.0,False,True,0.08,Neural vs Analytical,24.14442253112793,24.200727462768555,1.4135236740112305
CIFAR10,10000,MinimalResNet,convolution_gaussian_1.0,False,True,0.09,Analytical vs GT,52.987632751464844,55.59798812866211,14.702844619750977
CIFAR10,10000,MinimalResNet,convolution_gaussian_1.0,False,True,0.09,Neural vs GT,23.753456115722656,23.829936981201172,1.360791563987732
CIFAR10,10000,MinimalResNet,convolution_gaussian_1.0,False,True,0.09,Neural vs Analytical,23.76378631591797,23.897253036499023,1.3793889284133911
CIFAR10,10000,MinimalResNet,convolution_gaussian_1.0,False,True,0.1,Analytical vs GT,49.369659423828125,52.51150894165039,13.567855834960938
CIFAR10,10000,MinimalResNet,convolution_gaussian_1.0,False,True,0.1,Neural vs GT,23.4659423828125,23.583328247070312,1.4102624654769897
CIFAR10,10000,MinimalResNet,convolution_gaussian_1.0,False,True,0.1,Neural vs Analytical,23.577980041503906,23.667705535888672,1.4210399389266968
CIFAR10,10000,MinimalResNet,convolution_gaussian_1.0,False,True,0.15,Analytical vs GT,39.2676887512207,38.86896896362305,6.470126628875732
CIFAR10,10000,MinimalResNet,convolution_gaussian_1.0,False,True,0.15,Neural vs GT,22.07904815673828,22.20330238342285,1.2398101091384888
CIFAR10,10000,MinimalResNet,convolution_gaussian_1.0,False,True,0.15,Neural vs Analytical,22.437171936035156,22.514686584472656,1.3764039278030396
