dataset,dataset_size,model,operator,inform,on_train,sigma,series,median,mean,std
FFHQ/images32x32,10000,MinimalResNet,inpainting_center_15,False,True,0.01,Analytical vs GT,30.640697479248047,31.15131378173828,3.8056938648223877
FFHQ/images32x32,10000,MinimalResNet,inpainting_center_15,False,True,0.01,Neural vs GT,23.618244171142578,23.343313217163086,1.997753381729126
FFHQ/images32x32,10000,MinimalResNet,inpainting_center_15,False,True,0.01,Neural vs Analytical,24.219961166381836,24.32611083984375,1.9009578227996826
FFHQ/images32x32,10000,MinimalResNet,inpainting_center_15,False,True,0.02,Analytical vs GT,30.635786056518555,31.157899856567383,3.8185811042785645
FFHQ/images32x32,10000,MinimalResNet,inpainting_center_15,False,True,0.02,Neural vs GT,23.512828826904297,23.270448684692383,1.9641033411026
FFHQ/images32x32,10000,MinimalResNet,inpainting_center_15,False,True,0.02,Neural vs Analytical,24.076290130615234,24.23822784423828,1.8511379957199097
FFHQ/images32x32,10000,MinimalResNet,inpainting_center_15,False,True,0.03,Analytical vs GT,30.584325790405273,31.077173233032227,3.9407012462615967
FFHQ/images32x32,10000,MinimalResNet,inpainting_center_15,False,True,0.03,Neural vs GT,23.346405029296875,23.085481643676758,1.9589627981185913
FFHQ/images32x32,10000,MinimalResNet,inpainting_center_15,False,True,0.03,Neural vs Analytical,23.962566375732422,24.059568405151367,1.7773702144622803
FFHQ/images32x32,10000,MinimalResNet,inpainting_center_15,False,True,0.04,Analytical vs GT,30.484085083007812,30.952394485473633,3.880465507507324
FFHQ/images32x32,10000,MinimalResNet,inpainting_center_15,False,True,0.04,Neural vs GT,23.268383026123047,22.955537796020508,1.8765454292297363
FFHQ/images32x32,10000,MinimalResNet,inpainting_center_15,False,True,0.04,Neural vs Analytical,23.84563446044922,23.927099227905273,1.6812856197357178
FFHQ/images32x32,10000,MinimalResNet,inpainting_center_15,False,True,0.05,Analytical vs GT,30.500255584716797,30.742124557495117,3.7915451526641846
FFHQ/images32x32,10000,MinimalResNet,inpainting_center_15,False,True,0.05,Neural vs GT,23.099689483642578,22.76775550842285,1.8448677062988281
FFHQ/images32x32,10000,MinimalResNet,inpainting_center_15,False,True,0.05,Neural vs Analytical,23.72391700744629,23.706911087036133,1.6953233480453491
FFHQ/images32x32,10000,MinimalResNet,inpainting_center_15,False,True,0.06,Analytical vs GT,30.325971603393555,30.469865798950195,3.81257963180542
FFHQ/images32x32,10000,MinimalResNet,inpainting_center_15,False,True,0.06,Neural vs GT,22.95447540283203,22.56201934814453,1.7725355625152588
FFHQ/images32x32,10000,MinimalResNet,inpainting_center_15,False,True,0.06,Neural vs Analytical,23.569528579711914,23.54836654663086,1.5342397689819336
FFHQ/images32x32,10000,MinimalResNet,inpainting_center_15,False,True,0.07,Analytical vs GT,30.250640869140625,30.088211059570312,3.7491722106933594
FFHQ/images32x32,10000,MinimalResNet,inpainting_center_15,False,True,0.07,Neural vs GT,22.5755672454834,22.354236602783203,1.920385718345642
FFHQ/images32x32,10000,MinimalResNet,inpainting_center_15,False,True,0.07,Neural vs Analytical,23.30117416381836,23.356996536254883,1.641880989074707
FFHQ/images32x32,10000,MinimalResNet,inpainting_center_15,False,True,0.08,Analytical vs GT,29.591796875,29.661191940307617,3.5523266792297363
FFHQ/images32x32,10000,MinimalResNet,inpainting_center_15,False,True,0.08,Neural vs GT,22.353656768798828,22.227678298950195,1.8050239086151123
FFHQ/images32x32,10000,MinimalResNet,inpainting_center_15,False,True,0.08,Neural vs Analytical,23.27381134033203,23.28341293334961,1.5700711011886597
FFHQ/images32x32,10000,MinimalResNet,inpainting_center_15,False,True,0.09,Analytical vs GT,29.52210235595703,29.256725311279297,3.2409794330596924
FFHQ/images32x32,10000,MinimalResNet,inpainting_center_15,False,True,0.09,Neural vs GT,22.118526458740234,22.0515193939209,1.682311773300171
FFHQ/images32x32,10000,MinimalResNet,inpainting_center_15,False,True,0.09,Neural vs Analytical,23.129657745361328,23.173633575439453,1.4745562076568604
FFHQ/images32x32,10000,MinimalResNet,inpainting_center_15,False,True,0.1,Analytical vs GT,29.07779884338379,29.059614181518555,3.2712655067443848
FFHQ/images32x32,10000,MinimalResNet,inpainting_center_15,False,True,0.1,Neural vs GT,21.95684051513672,21.846939086914062,1.8520538806915283
FFHQ/images32x32,10000,MinimalResNet,inpainting_center_15,False,True,0.1,Neural vs Analytical,22.901689529418945,22.971088409423828,1.5739359855651855
FFHQ/images32x32,10000,MinimalResNet,inpainting_center_15,False,True,0.15,Analytical vs GT,27.89427947998047,27.543352127075195,3.1348423957824707
