dataset,dataset_size,model,operator,inform,on_train,sigma,series,median,mean,std
FashionMNIST,10000,MinimalResNet,inpainting_center_15,False,True,0.01,Analytical vs GT,18.745487213134766,19.993192672729492,5.207763671875
FashionMNIST,10000,MinimalResNet,inpainting_center_15,False,True,0.01,Neural vs GT,16.165435791015625,16.68627166748047,3.024306058883667
FashionMNIST,10000,MinimalResNet,inpainting_center_15,False,True,0.01,Neural vs Analytical,21.179046630859375,21.09540367126465,3.4710521697998047
FashionMNIST,10000,MinimalResNet,inpainting_center_15,False,True,0.02,Analytical vs GT,18.609905242919922,19.831113815307617,5.165081977844238
FashionMNIST,10000,MinimalResNet,inpainting_center_15,False,True,0.02,Neural vs GT,16.17975616455078,16.652626037597656,2.973590850830078
FashionMNIST,10000,MinimalResNet,inpainting_center_15,False,True,0.02,Neural vs Analytical,21.399707794189453,21.2838191986084,3.472662925720215
FashionMNIST,10000,MinimalResNet,inpainting_center_15,False,True,0.03,Analytical vs GT,18.525001525878906,19.458099365234375,4.66414737701416
FashionMNIST,10000,MinimalResNet,inpainting_center_15,False,True,0.03,Neural vs GT,16.098106384277344,16.593393325805664,2.908752918243408
FashionMNIST,10000,MinimalResNet,inpainting_center_15,False,True,0.03,Neural vs Analytical,21.891387939453125,21.405738830566406,3.2578647136688232
FashionMNIST,10000,MinimalResNet,inpainting_center_15,False,True,0.04,Analytical vs GT,18.097881317138672,19.233963012695312,4.5130720138549805
FashionMNIST,10000,MinimalResNet,inpainting_center_15,False,True,0.04,Neural vs GT,16.071491241455078,16.523653030395508,2.847385883331299
FashionMNIST,10000,MinimalResNet,inpainting_center_15,False,True,0.04,Neural vs Analytical,21.876811981201172,21.449081420898438,3.070951461791992
FashionMNIST,10000,MinimalResNet,inpainting_center_15,False,True,0.05,Analytical vs GT,18.11550521850586,18.966663360595703,4.262211799621582
FashionMNIST,10000,MinimalResNet,inpainting_center_15,False,True,0.05,Neural vs GT,15.884172439575195,16.40191650390625,2.762418031692505
FashionMNIST,10000,MinimalResNet,inpainting_center_15,False,True,0.05,Neural vs Analytical,22.296274185180664,21.459129333496094,3.099245309829712
FashionMNIST,10000,MinimalResNet,inpainting_center_15,False,True,0.06,Analytical vs GT,17.761157989501953,18.789709091186523,4.163456916809082
FashionMNIST,10000,MinimalResNet,inpainting_center_15,False,True,0.06,Neural vs GT,15.9205961227417,16.30560874938965,2.653292179107666
FashionMNIST,10000,MinimalResNet,inpainting_center_15,False,True,0.06,Neural vs Analytical,22.20465850830078,21.586692810058594,2.9907102584838867
FashionMNIST,10000,MinimalResNet,inpainting_center_15,False,True,0.07,Analytical vs GT,17.33319854736328,18.603527069091797,4.109076976776123
FashionMNIST,10000,MinimalResNet,inpainting_center_15,False,True,0.07,Neural vs GT,15.757196426391602,16.3022518157959,2.731208324432373
FashionMNIST,10000,MinimalResNet,inpainting_center_15,False,True,0.07,Neural vs Analytical,22.561031341552734,21.764829635620117,3.0935933589935303
FashionMNIST,10000,MinimalResNet,inpainting_center_15,False,True,0.08,Analytical vs GT,17.696754455566406,18.43446922302246,3.880425453186035
FashionMNIST,10000,MinimalResNet,inpainting_center_15,False,True,0.08,Neural vs GT,15.717390060424805,16.171178817749023,2.550126791000366
FashionMNIST,10000,MinimalResNet,inpainting_center_15,False,True,0.08,Neural vs Analytical,22.52391242980957,21.792600631713867,2.9619300365448
FashionMNIST,10000,MinimalResNet,inpainting_center_15,False,True,0.09,Analytical vs GT,17.283361434936523,18.185665130615234,3.604705572128296
FashionMNIST,10000,MinimalResNet,inpainting_center_15,False,True,0.09,Neural vs GT,15.73865032196045,16.058032989501953,2.5338876247406006
FashionMNIST,10000,MinimalResNet,inpainting_center_15,False,True,0.09,Neural vs Analytical,21.993038177490234,21.693954467773438,3.0174167156219482
FashionMNIST,10000,MinimalResNet,inpainting_center_15,False,True,0.1,Analytical vs GT,17.245784759521484,18.09076499938965,3.7806215286254883
FashionMNIST,10000,MinimalResNet,inpainting_center_15,False,True,0.1,Neural vs GT,15.484792709350586,15.943477630615234,2.5158963203430176
FashionMNIST,10000,MinimalResNet,inpainting_center_15,False,True,0.1,Neural vs Analytical,22.130373001098633,21.69989776611328,3.1030242443084717
FashionMNIST,10000,MinimalResNet,inpainting_center_15,False,True,0.15,Analytical vs GT,16.870342254638672,17.40644073486328,3.1428964138031006
FashionMNIST,10000,MinimalResNet,inpainting_center_15,False,True,0.15,Neural vs GT,15.161396026611328,15.507729530334473,2.366278648376465
FashionMNIST,10000,MinimalResNet,inpainting_center_15,False,True,0.15,Neural vs Analytical,21.612960815429688,21.37774085998535,2.8073716163635254
FashionMNIST,10000,MinimalResNet,inpainting_center_15,False,True,0.2,Analytical vs GT,16.45773696899414,16.385114669799805,2.5770974159240723
FashionMNIST,10000,MinimalResNet,inpainting_center_15,False,True,0.2,Neural vs GT,14.723196029663086,14.94627571105957,2.1824164390563965
FashionMNIST,10000,MinimalResNet,inpainting_center_15,False,True,0.2,Neural vs Analytical,21.438934326171875,21.335622787475586,2.812014102935791
FashionMNIST,10000,MinimalResNet,inpainting_center_15,False,True,0.25,Analytical vs GT,15.667823791503906,15.657021522521973,2.2642757892608643
FashionMNIST,10000,MinimalResNet,inpainting_center_15,False,True,0.25,Neural vs GT,14.236440658569336,14.474584579467773,2.028604030609131
FashionMNIST,10000,MinimalResNet,inpainting_center_15,False,True,0.25,Neural vs Analytical,21.154850006103516,21.224287033081055,2.656219244003296
FashionMNIST,10000,MinimalResNet,inpainting_center_15,False,True,0.3,Analytical vs GT,15.492616653442383,15.142273902893066,2.106584072113037
FashionMNIST,10000,MinimalResNet,inpainting_center_15,False,True,0.3,Neural vs GT,14.247180938720703,14.141823768615723,1.8486250638961792
FashionMNIST,10000,MinimalResNet,inpainting_center_15,False,True,0.3,Neural vs Analytical,21.437231063842773,21.46312713623047,2.525202989578247
FashionMNIST,10000,MinimalResNet,inpainting_center_15,False,True,0.35,Analytical vs GT,14.529226303100586,14.453577995300293,1.9946171045303345
FashionMNIST,10000,MinimalResNet,inpainting_center_15,False,True,0.35,Neural vs GT,13.471763610839844,13.628900527954102,1.8556485176086426
FashionMNIST,10000,MinimalResNet,inpainting_center_15,False,True,0.35,Neural vs Analytical,21.79045867919922,21.590599060058594,2.5002315044403076
FashionMNIST,10000,MinimalResNet,inpainting_center_15,False,True,0.4,Analytical vs GT,14.03291130065918,14.113286972045898,2.140129327774048
FashionMNIST,10000,MinimalResNet,inpainting_center_15,False,True,0.4,Neural vs GT,13.393926620483398,13.501413345336914,1.9994298219680786
FashionMNIST,10000,MinimalResNet,inpainting_center_15,False,True,0.4,Neural vs Analytical,22.578428268432617,22.1724796295166,2.6251697540283203
FashionMNIST,10000,MinimalResNet,inpainting_center_15,False,True,0.45,Analytical vs GT,13.586416244506836,13.678291320800781,1.7863891124725342
FashionMNIST,10000,MinimalResNet,inpainting_center_15,False,True,0.45,Neural vs GT,13.006013870239258,13.155978202819824,1.8099524974822998
FashionMNIST,10000,MinimalResNet,inpainting_center_15,False,True,0.45,Neural vs Analytical,22.368534088134766,22.541303634643555,2.6867284774780273
FashionMNIST,10000,MinimalResNet,inpainting_center_15,False,True,0.5,Analytical vs GT,12.87641716003418,13.178153038024902,1.880068302154541
FashionMNIST,10000,MinimalResNet,inpainting_center_15,False,True,0.5,Neural vs GT,12.551888465881348,12.830585479736328,1.9332915544509888
FashionMNIST,10000,MinimalResNet,inpainting_center_15,False,True,0.5,Neural vs Analytical,23.567668914794922,23.19493865966797,2.786011219024658
FashionMNIST,10000,MinimalResNet,inpainting_center_15,False,True,0.6,Analytical vs GT,12.651784896850586,12.580766677856445,1.653903603553772
FashionMNIST,10000,MinimalResNet,inpainting_center_15,False,True,0.6,Neural vs GT,12.435297966003418,12.332493782043457,1.798691749572754
FashionMNIST,10000,MinimalResNet,inpainting_center_15,False,True,0.6,Neural vs Analytical,24.185874938964844,24.013750076293945,2.410757541656494
FashionMNIST,10000,MinimalResNet,inpainting_center_15,False,True,0.7,Analytical vs GT,11.859476089477539,12.263692855834961,1.9029309749603271
FashionMNIST,10000,MinimalResNet,inpainting_center_15,False,True,0.7,Neural vs GT,11.718118667602539,12.118468284606934,1.9345351457595825
FashionMNIST,10000,MinimalResNet,inpainting_center_15,False,True,0.7,Neural vs Analytical,24.795780181884766,25.429710388183594,2.8476243019104004
FashionMNIST,10000,MinimalResNet,inpainting_center_15,False,True,0.8,Analytical vs GT,11.654556274414062,11.801435470581055,1.804038643836975
FashionMNIST,10000,MinimalResNet,inpainting_center_15,False,True,0.8,Neural vs GT,11.521903991699219,11.697227478027344,1.8345482349395752
FashionMNIST,10000,MinimalResNet,inpainting_center_15,False,True,0.8,Neural vs Analytical,26.122867584228516,25.88027572631836,2.4170570373535156
FashionMNIST,10000,MinimalResNet,inpainting_center_15,False,True,0.9,Analytical vs GT,11.293457984924316,11.56024169921875,1.8747793436050415
FashionMNIST,10000,MinimalResNet,inpainting_center_15,False,True,0.9,Neural vs GT,11.237333297729492,11.48425579071045,1.9337401390075684
FashionMNIST,10000,MinimalResNet,inpainting_center_15,False,True,0.9,Neural vs Analytical,27.100055694580078,26.697795867919922,2.097440242767334
FashionMNIST,10000,MinimalResNet,inpainting_center_15,False,True,1.0,Analytical vs GT,10.78115463256836,11.064923286437988,1.9433099031448364
FashionMNIST,10000,MinimalResNet,inpainting_center_15,False,True,1.0,Neural vs GT,10.730646133422852,10.989724159240723,1.9660818576812744
FashionMNIST,10000,MinimalResNet,inpainting_center_15,False,True,1.0,Neural vs Analytical,27.431135177612305,27.157821655273438,2.2544748783111572
FashionMNIST,10000,MinimalResNet,convolution_gaussian_1.0,False,True,0.01,Analytical vs GT,79.99998474121094,78.99615478515625,3.685967445373535
FashionMNIST,10000,MinimalResNet,convolution_gaussian_1.0,False,True,0.01,Neural vs GT,27.68148422241211,27.985864639282227,2.870821475982666
FashionMNIST,10000,MinimalResNet,convolution_gaussian_1.0,False,True,0.01,Neural vs Analytical,27.68148422241211,27.985942840576172,2.870929479598999
FashionMNIST,10000,MinimalResNet,convolution_gaussian_1.0,False,True,0.02,Analytical vs GT,79.99618530273438,75.75144958496094,8.172335624694824
FashionMNIST,10000,MinimalResNet,convolution_gaussian_1.0,False,True,0.02,Neural vs GT,26.316940307617188,26.604089736938477,2.7498157024383545
FashionMNIST,10000,MinimalResNet,convolution_gaussian_1.0,False,True,0.02,Neural vs Analytical,26.316478729248047,26.606874465942383,2.752507448196411
