dataset,dataset_size,model,operator,inform,on_train,sigma,series,median,mean,std
CIFAR10,10000,PatchMLP,inpainting_center_15,False,True,0.01,Analytical vs GT,29.15349769592285,29.046308517456055,3.652582883834839
CIFAR10,10000,PatchMLP,inpainting_center_15,False,True,0.01,Neural vs GT,20.552715301513672,20.953760147094727,2.5600321292877197
CIFAR10,10000,PatchMLP,inpainting_center_15,False,True,0.01,Neural vs Analytical,21.62386703491211,21.820032119750977,2.5386085510253906
CIFAR10,10000,PatchMLP,inpainting_center_15,False,True,0.02,Analytical vs GT,29.235912322998047,29.020483016967773,3.691728353500366
CIFAR10,10000,PatchMLP,inpainting_center_15,False,True,0.02,Neural vs GT,20.770963668823242,21.119672775268555,2.4497411251068115
CIFAR10,10000,PatchMLP,inpainting_center_15,False,True,0.02,Neural vs Analytical,21.71087646484375,21.993114471435547,2.390000104904175
CIFAR10,10000,PatchMLP,inpainting_center_15,False,True,0.03,Analytical vs GT,29.14687728881836,29.030105590820312,3.6654341220855713
CIFAR10,10000,PatchMLP,inpainting_center_15,False,True,0.03,Neural vs GT,20.79588508605957,21.163515090942383,2.3050620555877686
CIFAR10,10000,PatchMLP,inpainting_center_15,False,True,0.03,Neural vs Analytical,21.787250518798828,22.053874969482422,2.2058486938476562
CIFAR10,10000,PatchMLP,inpainting_center_15,False,True,0.04,Analytical vs GT,29.028310775756836,28.904268264770508,3.5542454719543457
CIFAR10,10000,PatchMLP,inpainting_center_15,False,True,0.04,Neural vs GT,20.68920135498047,21.125865936279297,2.2048306465148926
CIFAR10,10000,PatchMLP,inpainting_center_15,False,True,0.04,Neural vs Analytical,21.700239181518555,22.06369400024414,2.0728609561920166
CIFAR10,10000,PatchMLP,inpainting_center_15,False,True,0.05,Analytical vs GT,28.671489715576172,28.780986785888672,3.5866000652313232
CIFAR10,10000,PatchMLP,inpainting_center_15,False,True,0.05,Neural vs GT,20.75638198852539,21.088973999023438,2.2396578788757324
CIFAR10,10000,PatchMLP,inpainting_center_15,False,True,0.05,Neural vs Analytical,21.753597259521484,22.039804458618164,2.0396945476531982
CIFAR10,10000,PatchMLP,inpainting_center_15,False,True,0.06,Analytical vs GT,28.70268440246582,28.741809844970703,3.6812009811401367
CIFAR10,10000,PatchMLP,inpainting_center_15,False,True,0.06,Neural vs GT,20.6231632232666,20.956069946289062,2.17930269241333
CIFAR10,10000,PatchMLP,inpainting_center_15,False,True,0.06,Neural vs Analytical,21.659250259399414,21.851255416870117,2.008476972579956
CIFAR10,10000,PatchMLP,inpainting_center_15,False,True,0.07,Analytical vs GT,28.573787689208984,28.544933319091797,3.5426993370056152
CIFAR10,10000,PatchMLP,inpainting_center_15,False,True,0.07,Neural vs GT,20.703895568847656,20.900634765625,2.1650307178497314
CIFAR10,10000,PatchMLP,inpainting_center_15,False,True,0.07,Neural vs Analytical,21.728092193603516,21.842493057250977,1.9537193775177002
CIFAR10,10000,PatchMLP,inpainting_center_15,False,True,0.08,Analytical vs GT,28.021900177001953,28.09162139892578,3.3721320629119873
CIFAR10,10000,PatchMLP,inpainting_center_15,False,True,0.08,Neural vs GT,20.44207763671875,20.727027893066406,2.0810320377349854
CIFAR10,10000,PatchMLP,inpainting_center_15,False,True,0.08,Neural vs Analytical,21.668466567993164,21.733482360839844,1.8236644268035889
CIFAR10,10000,PatchMLP,inpainting_center_15,False,True,0.09,Analytical vs GT,27.869213104248047,27.83466148376465,3.3746206760406494
CIFAR10,10000,PatchMLP,inpainting_center_15,False,True,0.09,Neural vs GT,20.26245880126953,20.606782913208008,2.011789083480835
CIFAR10,10000,PatchMLP,inpainting_center_15,False,True,0.09,Neural vs Analytical,21.42896270751953,21.595359802246094,1.7723690271377563
CIFAR10,10000,PatchMLP,inpainting_center_15,False,True,0.1,Analytical vs GT,27.834745407104492,27.744064331054688,3.240920066833496
CIFAR10,10000,PatchMLP,inpainting_center_15,False,True,0.1,Neural vs GT,20.3399715423584,20.61806869506836,1.981482982635498
CIFAR10,10000,PatchMLP,inpainting_center_15,False,True,0.1,Neural vs Analytical,21.683340072631836,21.61695098876953,1.7815982103347778
CIFAR10,10000,PatchMLP,inpainting_center_15,False,True,0.15,Analytical vs GT,26.252044677734375,26.164316177368164,3.335355043411255
CIFAR10,10000,PatchMLP,inpainting_center_15,False,True,0.15,Neural vs GT,19.690826416015625,19.82622528076172,1.8053733110427856
CIFAR10,10000,PatchMLP,inpainting_center_15,False,True,0.15,Neural vs Analytical,21.126548767089844,21.081464767456055,1.4593305587768555
CIFAR10,10000,PatchMLP,inpainting_center_15,False,True,0.2,Analytical vs GT,25.129905700683594,25.158485412597656,3.0354390144348145
CIFAR10,10000,PatchMLP,inpainting_center_15,False,True,0.2,Neural vs GT,19.467729568481445,19.43144989013672,1.7234523296356201
CIFAR10,10000,PatchMLP,inpainting_center_15,False,True,0.2,Neural vs Analytical,21.104578018188477,20.901622772216797,1.5194326639175415
CIFAR10,10000,PatchMLP,inpainting_center_15,False,True,0.25,Analytical vs GT,23.997827529907227,24.180469512939453,2.863020658493042
CIFAR10,10000,PatchMLP,inpainting_center_15,False,True,0.25,Neural vs GT,18.826234817504883,18.894699096679688,1.598525881767273
CIFAR10,10000,PatchMLP,inpainting_center_15,False,True,0.25,Neural vs Analytical,20.586017608642578,20.617176055908203,1.438492774963379
CIFAR10,10000,PatchMLP,inpainting_center_15,False,True,0.3,Analytical vs GT,23.117145538330078,22.882495880126953,2.801236152648926
CIFAR10,10000,PatchMLP,inpainting_center_15,False,True,0.3,Neural vs GT,18.419689178466797,18.44135284423828,1.520025372505188
CIFAR10,10000,PatchMLP,inpainting_center_15,False,True,0.3,Neural vs Analytical,20.549013137817383,20.651050567626953,1.5350868701934814
CIFAR10,10000,PatchMLP,inpainting_center_15,False,True,0.35,Analytical vs GT,21.615066528320312,21.755083084106445,2.56903338432312
CIFAR10,10000,PatchMLP,inpainting_center_15,False,True,0.35,Neural vs GT,18.03836441040039,17.950706481933594,1.4222036600112915
CIFAR10,10000,PatchMLP,inpainting_center_15,False,True,0.35,Neural vs Analytical,20.40210723876953,20.442049026489258,1.51510488986969
CIFAR10,10000,PatchMLP,inpainting_center_15,False,True,0.4,Analytical vs GT,21.0063419342041,21.02447509765625,2.2825629711151123
CIFAR10,10000,PatchMLP,inpainting_center_15,False,True,0.4,Neural vs GT,17.843486785888672,17.72678565979004,1.3706412315368652
CIFAR10,10000,PatchMLP,inpainting_center_15,False,True,0.4,Neural vs Analytical,20.464962005615234,20.835529327392578,1.9042106866836548
CIFAR10,10000,PatchMLP,inpainting_center_15,False,True,0.45,Analytical vs GT,20.180158615112305,20.00731658935547,2.1094970703125
CIFAR10,10000,PatchMLP,inpainting_center_15,False,True,0.45,Neural vs GT,17.36947250366211,17.397953033447266,1.455162763595581
CIFAR10,10000,PatchMLP,inpainting_center_15,False,True,0.45,Neural vs Analytical,21.22219467163086,21.043724060058594,1.893345832824707
CIFAR10,10000,PatchMLP,inpainting_center_15,False,True,0.5,Analytical vs GT,19.04381561279297,19.15017318725586,1.8453121185302734
CIFAR10,10000,PatchMLP,inpainting_center_15,False,True,0.5,Neural vs GT,17.143089294433594,17.062162399291992,1.2747974395751953
CIFAR10,10000,PatchMLP,inpainting_center_15,False,True,0.5,Neural vs Analytical,21.315269470214844,21.476652145385742,1.996415615081787
CIFAR10,10000,PatchMLP,inpainting_center_15,False,True,0.6,Analytical vs GT,17.490230560302734,17.709360122680664,1.8010501861572266
CIFAR10,10000,PatchMLP,inpainting_center_15,False,True,0.6,Neural vs GT,16.29713249206543,16.45081901550293,1.3898735046386719
CIFAR10,10000,PatchMLP,inpainting_center_15,False,True,0.6,Neural vs Analytical,22.607940673828125,22.408340454101562,2.009751796722412
CIFAR10,10000,PatchMLP,inpainting_center_15,False,True,0.7,Analytical vs GT,16.990482330322266,16.850013732910156,1.3328981399536133
CIFAR10,10000,PatchMLP,inpainting_center_15,False,True,0.7,Neural vs GT,15.991092681884766,15.991131782531738,1.231084942817688
CIFAR10,10000,PatchMLP,inpainting_center_15,False,True,0.7,Neural vs Analytical,23.367061614990234,23.3336124420166,2.058074951171875
CIFAR10,10000,PatchMLP,inpainting_center_15,False,True,0.8,Analytical vs GT,16.137950897216797,16.065719604492188,1.1905683279037476
CIFAR10,10000,PatchMLP,inpainting_center_15,False,True,0.8,Neural vs GT,15.651657104492188,15.696080207824707,1.2412388324737549
CIFAR10,10000,PatchMLP,inpainting_center_15,False,True,0.8,Neural vs Analytical,24.761764526367188,24.248035430908203,2.2261736392974854
CIFAR10,10000,PatchMLP,inpainting_center_15,False,True,0.9,Analytical vs GT,15.370674133300781,15.457183837890625,1.3080048561096191
CIFAR10,10000,PatchMLP,inpainting_center_15,False,True,0.9,Neural vs GT,15.07265567779541,15.196061134338379,1.255899429321289
CIFAR10,10000,PatchMLP,inpainting_center_15,False,True,0.9,Neural vs Analytical,25.00244903564453,24.628772735595703,1.932796835899353
CIFAR10,10000,PatchMLP,inpainting_center_15,False,True,1.0,Analytical vs GT,15.398706436157227,15.252371788024902,1.3781702518463135
CIFAR10,10000,PatchMLP,inpainting_center_15,False,True,1.0,Neural vs GT,15.062322616577148,14.974298477172852,1.2945529222488403
CIFAR10,10000,PatchMLP,inpainting_center_15,False,True,1.0,Neural vs Analytical,24.93097686767578,24.574804306030273,2.2492856979370117
CIFAR10,10000,PatchMLP,convolution_gaussian_1.0,False,True,0.01,Analytical vs GT,80.0,80.0,0.0
CIFAR10,10000,PatchMLP,convolution_gaussian_1.0,False,True,0.01,Neural vs GT,28.63738250732422,28.560842514038086,1.5999829769134521
CIFAR10,10000,PatchMLP,convolution_gaussian_1.0,False,True,0.01,Neural vs Analytical,28.63738250732422,28.560842514038086,1.5999829769134521
CIFAR10,10000,PatchMLP,convolution_gaussian_1.0,False,True,0.02,Analytical vs GT,80.0,79.11471557617188,3.7757976055145264
CIFAR10,10000,PatchMLP,convolution_gaussian_1.0,False,True,0.02,Neural vs GT,27.539958953857422,27.52471160888672,1.4899965524673462
CIFAR10,10000,PatchMLP,convolution_gaussian_1.0,False,True,0.02,Neural vs Analytical,27.539958953857422,27.52484893798828,1.489891529083252
CIFAR10,10000,PatchMLP,convolution_gaussian_1.0,False,True,0.03,Analytical vs GT,80.0,77.55259704589844,6.477042198181152
CIFAR10,10000,PatchMLP,convolution_gaussian_1.0,False,True,0.03,Neural vs GT,26.669157028198242,26.642396926879883,1.395992398262024
CIFAR10,10000,PatchMLP,convolution_gaussian_1.0,False,True,0.03,Neural vs Analytical,26.669349670410156,26.642681121826172,1.3956433534622192
CIFAR10,10000,PatchMLP,convolution_gaussian_1.0,False,True,0.04,Analytical vs GT,79.99411010742188,73.41352081298828,10.483973503112793
CIFAR10,10000,PatchMLP,convolution_gaussian_1.0,False,True,0.04,Neural vs GT,25.967575073242188,26.022985458374023,1.4244146347045898
CIFAR10,10000,PatchMLP,convolution_gaussian_1.0,False,True,0.04,Neural vs Analytical,25.97275161743164,26.027036666870117,1.4279108047485352
CIFAR10,10000,PatchMLP,convolution_gaussian_1.0,False,True,0.05,Analytical vs GT,79.9547119140625,71.3476791381836,12.534205436706543
CIFAR10,10000,PatchMLP,convolution_gaussian_1.0,False,True,0.05,Neural vs GT,25.383602142333984,25.448261260986328,1.3741923570632935
CIFAR10,10000,PatchMLP,convolution_gaussian_1.0,False,True,0.05,Neural vs Analytical,25.432626724243164,25.45572280883789,1.3765709400177002
CIFAR10,10000,PatchMLP,convolution_gaussian_1.0,False,True,0.06,Analytical vs GT,71.35502624511719,66.87057495117188,13.770142555236816
