dataset,dataset_size,model,operator,inform,on_train,sigma,series,median,mean,std
FFHQ/images32x32,10000,PatchMLP,inpainting_center_15,False,True,0.01,Analytical vs GT,30.640697479248047,31.15131378173828,3.8056938648223877
FFHQ/images32x32,10000,PatchMLP,inpainting_center_15,False,True,0.01,Neural vs GT,22.527618408203125,22.053627014160156,1.9769206047058105
FFHQ/images32x32,10000,PatchMLP,inpainting_center_15,False,True,0.01,Neural vs Analytical,22.92607307434082,22.791654586791992,1.9585354328155518
FFHQ/images32x32,10000,PatchMLP,inpainting_center_15,False,True,0.02,Analytical vs GT,30.635786056518555,31.157899856567383,3.8185811042785645
FFHQ/images32x32,10000,PatchMLP,inpainting_center_15,False,True,0.02,Neural vs GT,22.569801330566406,22.20757293701172,2.001394510269165
FFHQ/images32x32,10000,PatchMLP,inpainting_center_15,False,True,0.02,Neural vs Analytical,22.905948638916016,22.9205265045166,1.9544209241867065
FFHQ/images32x32,10000,PatchMLP,inpainting_center_15,False,True,0.03,Analytical vs GT,30.584325790405273,31.077173233032227,3.9407012462615967
FFHQ/images32x32,10000,PatchMLP,inpainting_center_15,False,True,0.03,Neural vs GT,22.643878936767578,22.142759323120117,1.9361422061920166
FFHQ/images32x32,10000,PatchMLP,inpainting_center_15,False,True,0.03,Neural vs Analytical,22.987638473510742,22.874399185180664,1.8377751111984253
FFHQ/images32x32,10000,PatchMLP,inpainting_center_15,False,True,0.04,Analytical vs GT,30.484085083007812,30.952394485473633,3.880465507507324
FFHQ/images32x32,10000,PatchMLP,inpainting_center_15,False,True,0.04,Neural vs GT,22.292509078979492,22.082605361938477,1.9568744897842407
FFHQ/images32x32,10000,PatchMLP,inpainting_center_15,False,True,0.04,Neural vs Analytical,22.951637268066406,22.860994338989258,1.8367899656295776
FFHQ/images32x32,10000,PatchMLP,inpainting_center_15,False,True,0.05,Analytical vs GT,30.500255584716797,30.742124557495117,3.7915451526641846
FFHQ/images32x32,10000,PatchMLP,inpainting_center_15,False,True,0.05,Neural vs GT,22.482913970947266,21.996803283691406,1.9562829732894897
FFHQ/images32x32,10000,PatchMLP,inpainting_center_15,False,True,0.05,Neural vs Analytical,22.900741577148438,22.745256423950195,1.8965390920639038
FFHQ/images32x32,10000,PatchMLP,inpainting_center_15,False,True,0.06,Analytical vs GT,30.325971603393555,30.469865798950195,3.81257963180542
