dataset,dataset_size,model,operator,inform,on_train,sigma,series,median,mean,std
FashionMNIST,10000,PatchMLP,inpainting_center_15,False,True,0.01,Analytical vs GT,18.745487213134766,19.993192672729492,5.207763671875
FashionMNIST,10000,PatchMLP,inpainting_center_15,False,True,0.01,Neural vs GT,16.663179397583008,17.061708450317383,2.751110553741455
FashionMNIST,10000,PatchMLP,inpainting_center_15,False,True,0.01,Neural vs Analytical,22.260629653930664,22.17644500732422,3.2452008724212646
FashionMNIST,10000,PatchMLP,inpainting_center_15,False,True,0.02,Analytical vs GT,18.609905242919922,19.831113815307617,5.165081977844238
FashionMNIST,10000,PatchMLP,inpainting_center_15,False,True,0.02,Neural vs GT,16.684734344482422,17.04918098449707,2.7853474617004395
FashionMNIST,10000,PatchMLP,inpainting_center_15,False,True,0.02,Neural vs Analytical,22.233810424804688,22.325084686279297,3.26204514503479
FashionMNIST,10000,PatchMLP,inpainting_center_15,False,True,0.03,Analytical vs GT,18.525001525878906,19.458099365234375,4.66414737701416
FashionMNIST,10000,PatchMLP,inpainting_center_15,False,True,0.03,Neural vs GT,16.798051834106445,17.02473258972168,2.809328556060791
FashionMNIST,10000,PatchMLP,inpainting_center_15,False,True,0.03,Neural vs Analytical,22.78335189819336,22.501008987426758,3.049577236175537
FashionMNIST,10000,PatchMLP,inpainting_center_15,False,True,0.04,Analytical vs GT,18.097881317138672,19.233963012695312,4.5130720138549805
FashionMNIST,10000,PatchMLP,inpainting_center_15,False,True,0.04,Neural vs GT,16.483293533325195,16.883045196533203,2.685168743133545
FashionMNIST,10000,PatchMLP,inpainting_center_15,False,True,0.04,Neural vs Analytical,22.497058868408203,22.48239517211914,2.9695565700531006
FashionMNIST,10000,PatchMLP,inpainting_center_15,False,True,0.05,Analytical vs GT,18.11550521850586,18.966663360595703,4.262211799621582
FashionMNIST,10000,PatchMLP,inpainting_center_15,False,True,0.05,Neural vs GT,16.62582015991211,16.862951278686523,2.7228453159332275
FashionMNIST,10000,PatchMLP,inpainting_center_15,False,True,0.05,Neural vs Analytical,22.865161895751953,22.436174392700195,2.985954999923706
FashionMNIST,10000,PatchMLP,inpainting_center_15,False,True,0.06,Analytical vs GT,17.761157989501953,18.789709091186523,4.163456916809082
FashionMNIST,10000,PatchMLP,inpainting_center_15,False,True,0.06,Neural vs GT,16.5709228515625,16.75373077392578,2.6355035305023193
FashionMNIST,10000,PatchMLP,inpainting_center_15,False,True,0.06,Neural vs Analytical,22.671422958374023,22.47391128540039,2.7708466053009033
FashionMNIST,10000,PatchMLP,inpainting_center_15,False,True,0.07,Analytical vs GT,17.33319854736328,18.603527069091797,4.109076976776123
FashionMNIST,10000,PatchMLP,inpainting_center_15,False,True,0.07,Neural vs GT,16.4719181060791,16.70738983154297,2.66135573387146
FashionMNIST,10000,PatchMLP,inpainting_center_15,False,True,0.07,Neural vs Analytical,22.444210052490234,22.562429428100586,2.890881061553955
FashionMNIST,10000,PatchMLP,inpainting_center_15,False,True,0.08,Analytical vs GT,17.696754455566406,18.43446922302246,3.880425453186035
FashionMNIST,10000,PatchMLP,inpainting_center_15,False,True,0.08,Neural vs GT,16.296335220336914,16.5845890045166,2.6361472606658936
FashionMNIST,10000,PatchMLP,inpainting_center_15,False,True,0.08,Neural vs Analytical,22.813491821289062,22.521591186523438,2.821458101272583
FashionMNIST,10000,PatchMLP,inpainting_center_15,False,True,0.09,Analytical vs GT,17.283361434936523,18.185665130615234,3.604705572128296
FashionMNIST,10000,PatchMLP,inpainting_center_15,False,True,0.09,Neural vs GT,16.100162506103516,16.483362197875977,2.500286340713501
FashionMNIST,10000,PatchMLP,inpainting_center_15,False,True,0.09,Neural vs Analytical,22.346351623535156,22.3002872467041,2.8317196369171143
FashionMNIST,10000,PatchMLP,inpainting_center_15,False,True,0.1,Analytical vs GT,17.245784759521484,18.09076499938965,3.7806215286254883
FashionMNIST,10000,PatchMLP,inpainting_center_15,False,True,0.1,Neural vs GT,16.185649871826172,16.36444664001465,2.507077217102051
FashionMNIST,10000,PatchMLP,inpainting_center_15,False,True,0.1,Neural vs Analytical,22.735679626464844,22.404233932495117,2.945969343185425
FashionMNIST,10000,PatchMLP,inpainting_center_15,False,True,0.15,Analytical vs GT,16.870342254638672,17.40644073486328,3.1428964138031006
FashionMNIST,10000,PatchMLP,inpainting_center_15,False,True,0.15,Neural vs GT,16.075483322143555,15.885799407958984,2.392521619796753
FashionMNIST,10000,PatchMLP,inpainting_center_15,False,True,0.15,Neural vs Analytical,22.312721252441406,21.879226684570312,2.741269111633301
FashionMNIST,10000,PatchMLP,inpainting_center_15,False,True,0.2,Analytical vs GT,16.45773696899414,16.385114669799805,2.5770974159240723
FashionMNIST,10000,PatchMLP,inpainting_center_15,False,True,0.2,Neural vs GT,15.119500160217285,15.30041217803955,2.2021758556365967
FashionMNIST,10000,PatchMLP,inpainting_center_15,False,True,0.2,Neural vs Analytical,21.653690338134766,21.819055557250977,2.6384289264678955
FashionMNIST,10000,PatchMLP,inpainting_center_15,False,True,0.25,Analytical vs GT,15.667823791503906,15.657021522521973,2.2642757892608643
FashionMNIST,10000,PatchMLP,inpainting_center_15,False,True,0.25,Neural vs GT,14.77158260345459,14.857962608337402,2.0289692878723145
FashionMNIST,10000,PatchMLP,inpainting_center_15,False,True,0.25,Neural vs Analytical,21.89981460571289,21.740198135375977,2.5140390396118164
FashionMNIST,10000,PatchMLP,inpainting_center_15,False,True,0.3,Analytical vs GT,15.492616653442383,15.142273902893066,2.106584072113037
FashionMNIST,10000,PatchMLP,inpainting_center_15,False,True,0.3,Neural vs GT,14.702186584472656,14.537616729736328,1.9539090394973755
FashionMNIST,10000,PatchMLP,inpainting_center_15,False,True,0.3,Neural vs Analytical,22.070602416992188,22.084096908569336,2.364915609359741
FashionMNIST,10000,PatchMLP,inpainting_center_15,False,True,0.35,Analytical vs GT,14.529226303100586,14.453577995300293,1.9946171045303345
FashionMNIST,10000,PatchMLP,inpainting_center_15,False,True,0.35,Neural vs GT,13.533034324645996,13.968619346618652,2.0000834465026855
FashionMNIST,10000,PatchMLP,inpainting_center_15,False,True,0.35,Neural vs Analytical,22.28314781188965,21.992773056030273,2.4500324726104736
FashionMNIST,10000,PatchMLP,inpainting_center_15,False,True,0.4,Analytical vs GT,14.03291130065918,14.113286972045898,2.140129327774048
FashionMNIST,10000,PatchMLP,inpainting_center_15,False,True,0.4,Neural vs GT,13.644181251525879,13.82050895690918,2.119969606399536
FashionMNIST,10000,PatchMLP,inpainting_center_15,False,True,0.4,Neural vs Analytical,22.655357360839844,22.510602951049805,2.249631643295288
FashionMNIST,10000,PatchMLP,inpainting_center_15,False,True,0.45,Analytical vs GT,13.586416244506836,13.678291320800781,1.7863891124725342
FashionMNIST,10000,PatchMLP,inpainting_center_15,False,True,0.45,Neural vs GT,13.039205551147461,13.481047630310059,1.92100989818573
FashionMNIST,10000,PatchMLP,inpainting_center_15,False,True,0.45,Neural vs Analytical,22.923355102539062,22.565736770629883,2.1216132640838623
FashionMNIST,10000,PatchMLP,inpainting_center_15,False,True,0.5,Analytical vs GT,12.87641716003418,13.178153038024902,1.880068302154541
FashionMNIST,10000,PatchMLP,inpainting_center_15,False,True,0.5,Neural vs GT,12.750856399536133,13.074516296386719,1.975858449935913
FashionMNIST,10000,PatchMLP,inpainting_center_15,False,True,0.5,Neural vs Analytical,23.58775520324707,23.306154251098633,2.1631484031677246
FashionMNIST,10000,PatchMLP,inpainting_center_15,False,True,0.6,Analytical vs GT,12.651784896850586,12.580766677856445,1.653903603553772
FashionMNIST,10000,PatchMLP,inpainting_center_15,False,True,0.6,Neural vs GT,12.488374710083008,12.57693099975586,1.871431827545166
FashionMNIST,10000,PatchMLP,inpainting_center_15,False,True,0.6,Neural vs Analytical,23.294458389282227,23.368183135986328,1.9180638790130615
FashionMNIST,10000,PatchMLP,inpainting_center_15,False,True,0.7,Analytical vs GT,11.859476089477539,12.263692855834961,1.9029309749603271
FashionMNIST,10000,PatchMLP,inpainting_center_15,False,True,0.7,Neural vs GT,11.945867538452148,12.340551376342773,2.0089752674102783
FashionMNIST,10000,PatchMLP,inpainting_center_15,False,True,0.7,Neural vs Analytical,24.29322052001953,24.0416202545166,1.8832546472549438
FashionMNIST,10000,PatchMLP,inpainting_center_15,False,True,0.8,Analytical vs GT,11.654556274414062,11.801435470581055,1.804038643836975
FashionMNIST,10000,PatchMLP,inpainting_center_15,False,True,0.8,Neural vs GT,11.832868576049805,11.81989860534668,1.9096767902374268
FashionMNIST,10000,PatchMLP,inpainting_center_15,False,True,0.8,Neural vs Analytical,24.297849655151367,24.490312576293945,1.8888416290283203
